TRAINING
start starts
use uses
prevent prevents
continue continues
accommodate accommodates
help helps
provide provides
reduce reduces
believe believes
turn turns
save saves
extend extends
determine determines
say says
stay stays
do does
keep keeps
avoid avoids
play plays
call calls
tell tells
require requires
seem seems
lead leads
pay pays
like likes
support supports
buy buys
follow follows
come comes
show shows
need needs
hold holds
sell sells
join joins
discuss discusses
preserve preserves
move moves
have has
improve improves
resolve resolves
think thinks
consider considers
make makes
get gets
reach reaches
see sees
run runs
offer offers
receive receives
stop stops
work works
develop develops
know knows
find finds
take takes
look looks
meet meets
become becomes
prove proves
try tries
accept accepts
give gives
remain remains
begin begins
raise raises
ensure ensures
allow allows
want wants
earn earns
eliminate eliminates
win wins
bring brings
increase increases
live lives
build builds
create creates
serve serves
recognize recognizes
be is
open opens
TUNING
celebrate celebrates
study studies
promote promotes
understand understands
return returns
seek seeks
include includes
produce produces
send sends
TEST
go goes
protect protects
end ends
leave leaves
happen happens
decide decides
ask asks
learn learns
feel feels
