TRAINING
start starts
use uses
prevent prevents
continue continues
accommodate accommodates
help helps
provide provides
reduce reduces
believe believes
turn turns
win wins
extend extends
determine determines
preserve preserves
stay stays
do does
keep keeps
avoid avoids
play plays
call calls
tell tells
require requires
support supports
lead leads
pay pays
like likes
happen happens
buy buys
follow follows
come comes
show shows
need needs
hold holds
feel feels
go goes
discuss discusses
learn learns
move moves
have has
prove proves
resolve resolves
ask asks
consider considers
make makes
get gets
reach reaches
leave leaves
think thinks
offer offers
receive receives
stop stops
work works
develop develops
remain remains
find finds
take takes
look looks
meet meets
become becomes
end ends
try tries
accept accepts
give gives
decide decides
begin begins
raise raises
ensure ensures
allow allows
join joins
earn earns
eliminate eliminates
protect protects
bring brings
increase increases
live lives
build builds
create creates
serve serves
recognize recognizes
be is
see sees
TUNING
celebrate celebrates
sell sells
promote promotes
understand understands
return returns
seek seeks
include includes
produce produces
send sends
TEST
want wants
save saves
improve improves
open opens
seem seems
know knows
run runs
say says
study studies
