TRAINING
law laws
decision decisions
case cases
child children
school schools
car cars
talk talks
patient patients
friend friends
problem problems
team teams
thing things
business businesses
student students
point points
person people
rate rates
way ways
system systems
street streets
state states
product products
hour hours
party parties
drug drugs
source sources
official officials
day days
month months
sale sales
relation relations
agency agencies
game games
standard standards
line lines
man men
woman women
minute minutes
family families
officer officers
company companies
project projects
parent parents
right rights
job jobs
sport sports
voter voters
year years
building buildings
allegation allegations
member members
city cities
condition conditions
player players
group groups
charge charges
event events
program programs
kid kids
price prices
benefit benefits
time times
worker workers
change changes
issue issues
expert experts
artist artists
result results
concern concerns
citizen citizens
resident residents
analyst analysts
area areas
foot feet
leader leaders
weapon weapons
mile miles
employee employees
effort efforts
home homes
dollar dollars
TUNING
authority authorities
report reports
term terms
number numbers
owner owners
investor investors
life lives
rule rules
plan plans
TEST
candidate candidates
reason reasons
question questions
death deaths
week weeks
teacher teachers
loss losses
service services
country countries
operation operations
