TRAINING
law laws
decision decisions
case cases
child children
school schools
car cars
talk talks
patient patients
friend friends
problem problems
team teams
thing things
business businesses
student students
point points
death deaths
rate rates
way ways
system systems
street streets
operation operations
question questions
hour hours
party parties
drug drugs
source sources
official officials
day days
month months
sale sales
relation relations
agency agencies
game games
standard standards
line lines
man men
woman women
minute minutes
family families
officer officers
company companies
project projects
parent parents
right rights
teacher teachers
sport sports
voter voters
year years
building buildings
allegation allegations
member members
city cities
reason reasons
player players
group groups
charge charges
event events
program programs
kid kids
price prices
benefit benefits
week weeks
country countries
change changes
issue issues
expert experts
artist artists
result results
concern concerns
citizen citizens
loss losses
analyst analysts
area areas
foot feet
leader leaders
weapon weapons
mile miles
service services
effort efforts
candidate candidates
dollar dollars
TUNING
authority authorities
report reports
term terms
number numbers
owner owners
investor investors
life lives
rule rules
plan plans
TEST
home homes
condition conditions
product products
person people
time times
job jobs
resident residents
employee employees
worker workers
state states
