TRAINING
patient health
addict fix
man sex
students graduation
hunter prey
doctor wellness
farmer harvest
farmer food
dancer applause
workers salary
politician office
seamstress dress
student graduation
lawyer justice
painter portrait
runner finish
athlete medal
student degree
musician applause
traveler destination
chef meal
singer contract
athlete championship
gambler millionaire
team trophy
TUNING
astronaut space
christian heaven
arsonist fire
TEST
athlete record
midwife babies
mediator reconciliation
