TRAINING
idiot stupidity
ballerina grace
invalid illness
millionaire riches
development draft
nun chastity
millionaire wealth
administrator power
expert knowledge
athlete skinny
society citizen
corpse death
menopause emotional
forgetful aloof
star brightness
scholar intelligence
pacifist peace
saint holiness
soldier war
ice cold
armistice peace
fire warmth
winner victory
entrepreneur wealth
baby helpless
virgin purity
TUNING
coward fear
prisoner punishment
child youth
TEST
ascetic austerity
psychotic insanity
child innocence
