TRAINING
idiot stupidity
ballerina grace
invalid illness
millionaire riches
development draft
nun chastity
millionaire wealth
administrator power
child innocence
athlete skinny
society citizen
corpse death
menopause emotional
forgetful aloof
star brightness
ascetic austerity
pacifist peace
saint holiness
soldier war
ice cold
armistice peace
fire warmth
psychotic insanity
entrepreneur wealth
baby helpless
virgin purity
TUNING
coward fear
prisoner punishment
child youth
TEST
scholar intelligence
winner victory
expert knowledge
