TRAINING
discover discovering
enhance enhancing
dance dancing
see seeing
run running
invent inventing
debug debugging
sit sitting
slow slowing
go going
fly flying
implement implementing
play playing
decrease decreasing
look looking
predict predicting
say saying
think thinking
describe describing
walk walking
jump jumping
listen listening
increase increasing
shuffle shuffling
write writing
code coding
vanish vanishing
TUNING
move moving
generate generating
sing singing
TEST
swim swimming
scream screaming
read reading
