TRAINING
efficient inefficient
possible impossible
decided undecided
pleasant unpleasant
acceptable unacceptable
informative uninformative
sure unsure
reasonable unreasonable
productive unproductive
responsible irresponsible
aware unaware
impressive unimpressive
consistent inconsistent
honest dishonest
certain uncertain
tasteful distasteful
convenient inconvenient
clear unclear
logical illogical
likely unlikely
ethical unethical
informed uninformed
rational irrational
known unknown
TUNING
fortunate unfortunate
possibly impossibly
convincing unconvincing
TEST
comfortable uncomfortable
competitive uncompetitive
