TRAINING
looking looked
going went
swimming swam
shrinking shrank
paying paid
implementing implemented
taking took
sleeping slept
saying said
decreasing decreased
knowing knew
thinking thought
sitting sat
spending spent
running ran
playing played
singing sang
hiding hid
dancing danced
feeding fed
predicting predicted
striking struck
slowing slowed
hitting hit
selling sold
flying flew
enhancing enhanced
vanishing vanished
describing described
seeing saw
listening listened
increasing increased
TUNING
screaming screamed
generating generated
moving moved
walking walked
TEST
falling fell
jumping jumped
reading read
writing wrote
