TRAINING
immediate immediately
typical typically
apparent apparently
usual usually
quick quickly
furious furiously
serious seriously
occasional occasionally
slow slowly
obvious obviously
happy happily
calm calmly
rare rarely
swift swiftly
sudden suddenly
amazing amazingly
unfortunate unfortunately
rapid rapidly
possible possibly
cheerful cheerfully
reluctant reluctantly
safe safely
fortunate fortunately
professional professionally
free freely
quiet quietly
TUNING
precise precisely
lucky luckily
complete completely
TEST
efficient efficiently
infrequent infrequently
most mostly
