TRAINING
offers offered
builds built
moves moved
wins won
knows knew
helps helped
has had
takes took
joins joined
does did
develops developed
begins began
thinks thought
tries tried
becomes became
remains remained
celebrates celebrated
sends sent
reduces reduced
ensures ensured
sells sold
proves proved
seeks sought
discusses discussed
says said
keeps kept
provides provided
leaves left
decides decided
protects protected
supports supported
looks looked
learns learned
improves improved
earns earned
lives lived
resolves resolved
raises raised
shows showed
continues continued
brings brought
reaches reached
includes included
holds held
produces produced
stays stayed
avoids avoided
accepts accepted
comes came
recognizes recognized
sees saw
plays played
preserves preserved
understands understood
likes liked
serves served
leads led
gets got
happens happened
works worked
starts started
wants wanted
prevents prevented
ends ended
asks asked
tells told
considers considered
promotes promoted
changes changed
is was
saves saved
increases increased
follows followed
creates created
calls called
needs needed
seems seemed
extends extended
meets met
believes believed
receives received
TUNING
buys bought
requires required
goes went
turns turned
opens opened
accommodates accommodated
allows allowed
uses used
pays paid
TEST
eliminates eliminated
finds found
stops stopped
studies studied
gives gave
runs ran
determines determined
returns returned
feels felt
makes made
