TRAINING
dance dancing
enhance enhancing
swim swimming
see seeing
generate generating
invent inventing
debug debugging
sit sitting
sing singing
go going
fly flying
implement implementing
play playing
decrease decreasing
look looking
predict predicting
say saying
think thinking
describe describing
walk walking
jump jumping
listen listening
increase increasing
shuffle shuffling
write writing
code coding
vanish vanishing
TUNING
move moving
read reading
scream screaming
TEST
discover discovering
slow slowing
run running
