TRAINING
immediate immediately
typical typically
apparent apparently
usual usually
slow slowly
furious furiously
fortunate fortunately
occasional occasionally
most mostly
obvious obviously
happy happily
calm calmly
rare rarely
swift swiftly
sudden suddenly
efficient efficiently
unfortunate unfortunately
rapid rapidly
amazing amazingly
cheerful cheerfully
reluctant reluctantly
safe safely
infrequent infrequently
professional professionally
free freely
quiet quietly
TUNING
precise precisely
lucky luckily
complete completely
TEST
possible possibly
serious seriously
quick quickly
