TRAINING
immediate immediately
typical typically
apparent apparently
usual usually
slow slowly
furious furiously
fortunate fortunately
occasional occasionally
most mostly
cheerful cheerfully
complete completely
calm calmly
rare rarely
swift swiftly
possible possibly
efficient efficiently
sudden suddenly
rapid rapidly
amazing amazingly
serious seriously
reluctant reluctantly
safe safely
infrequent infrequently
professional professionally
free freely
quiet quietly
TUNING
precise precisely
lucky luckily
quick quickly
TEST
unfortunate unfortunately
obvious obviously
happy happily
