TRAINING
reach touch
sugar cookies
letter postscript
introduction conclusion
beginning middle
thread shirt
letter word
text index
conception birth
hydrogen water
preview movie
performance applause
foreword novel
introduction speech
paperwork appointment
shoot recoil
trial arrest
pregnancy birth
word sentence
kindergarten preschool
ingestion digestion
kiss intercourse
windup pitch
title story
flirtation tryst
letters word
searing roasting
lay sleep
TUNING
wheel car
meal dessert
start finish
TEST
step journey
inhale smell
previews movie
