TRAINING
start starts
use uses
prevent prevents
continue continues
accommodate accommodates
help helps
provide provides
reduce reduces
believe believes
turn turns
save saves
extend extends
determine determines
say says
stay stays
do does
keep keeps
avoid avoids
play plays
call calls
tell tells
require requires
seem seems
lead leads
pay pays
like likes
happen happens
buy buys
follow follows
come comes
show shows
need needs
hold holds
feel feels
go goes
discuss discusses
learn learns
move moves
have has
improve improves
resolve resolves
ask asks
consider considers
make makes
get gets
reach reaches
leave leaves
run runs
offer offers
receive receives
stop stops
work works
develop develops
know knows
find finds
take takes
look looks
meet meets
become becomes
end ends
try tries
accept accepts
give gives
decide decides
begin begins
raise raises
ensure ensures
allow allows
want wants
earn earns
eliminate eliminates
protect protects
bring brings
increase increases
live lives
build builds
create creates
serve serves
recognize recognizes
be is
open opens
TUNING
celebrate celebrates
study studies
promote promotes
understand understands
return returns
seek seeks
include includes
produce produces
send sends
TEST
join joins
win wins
prove proves
see sees
support supports
remain remains
think thinks
preserve preserves
sell sells
