TRAINING
idiot stupidity
ballerina grace
invalid illness
millionaire riches
child innocence
nun chastity
psychotic insanity
administrator power
expert knowledge
athlete skinny
society citizen
corpse death
menopause emotional
forgetful aloof
star brightness
scholar intelligence
pacifist peace
saint holiness
ascetic austerity
ice cold
armistice peace
fire warmth
winner victory
entrepreneur wealth
baby helpless
virgin purity
TUNING
coward fear
prisoner punishment
child youth
TEST
soldier war
millionaire wealth
development draft
