TRAINING
idiot stupidity
ballerina grace
invalid illness
millionaire riches
child innocence
pacifist peace
psychotic insanity
administrator power
expert knowledge
ice cold
child youth
corpse death
menopause emotional
forgetful aloof
soldier war
scholar intelligence
star brightness
saint holiness
ascetic austerity
millionaire wealth
armistice peace
fire warmth
winner victory
athlete skinny
baby helpless
virgin purity
TUNING
coward fear
society citizen
development draft
TEST
nun chastity
entrepreneur wealth
prisoner punishment
