TRAINING
idiot stupidity
prisoner punishment
invalid illness
millionaire riches
child innocence
pacifist peace
psychotic insanity
administrator power
expert knowledge
ice cold
child youth
nun chastity
entrepreneur wealth
forgetful aloof
soldier war
scholar intelligence
star brightness
saint holiness
ascetic austerity
millionaire wealth
armistice peace
ballerina grace
winner victory
athlete skinny
corpse death
virgin purity
TUNING
menopause emotional
society citizen
development draft
TEST
baby helpless
coward fear
fire warmth
