TRAINING
citation violation
cry help
badge authority
lightning thunder
pregnancy baby
sign direction
green go
buzzer end
wrinkle age
compass direction
rain storm
engagement wedding
bell dinner
crossbones poison
handshake agreement
smile happiness
cloud moisture
crown royalty
license permission
diploma education
thunder storm
smoke fire
red stop
flag nation
yellow caution
flashing caution
warning trouble
TUNING
doctor diagnosis
alarm action
camera distrust
TEST
cross faith
crown sovereignty
surgery hospital
