TRAINING
sun darkness
acetaminophen headache
education ignorance
medicine disease
medicine illness
cat mouse
happy sad
sleep tiredness
fungicide mold
vaccine virus
shot disease
antibiotics bacteria
insecticide pests
good bad
locks theft
antibiotic infection
insecticide bugs
food hunger
cure disease
activity boredom
fungicide fungus
immunization disease
sleep exhaustion
fast slow
mediation conflict
swimming drowning
preparation disaster
TUNING
nice evil
knowledge ignorance
acid base
TEST
rest exhaustion
money poverty
water thirst
