TRAINING
sun darkness
acetaminophen headache
rest exhaustion
medicine disease
medicine illness
cat mouse
happy sad
sleep tiredness
fungicide mold
vaccine virus
shot disease
antibiotics bacteria
education ignorance
good bad
locks theft
antibiotic infection
insecticide bugs
swimming drowning
insecticide pests
activity boredom
knowledge ignorance
immunization disease
sleep exhaustion
fast slow
fungicide fungus
acid base
preparation disaster
TUNING
nice evil
water thirst
money poverty
TEST
cure disease
food hunger
mediation conflict
