TRAINING
sun darkness
acetaminophen headache
rest exhaustion
medicine disease
medicine illness
cat mouse
happy sad
sleep tiredness
fungicide mold
vaccine virus
shot disease
antibiotics bacteria
insecticide pests
good bad
locks theft
antibiotic infection
insecticide bugs
food hunger
cure disease
activity boredom
fungicide fungus
immunization disease
sleep exhaustion
fast slow
mediation conflict
swimming drowning
preparation disaster
TUNING
nice evil
water thirst
money poverty
TEST
education ignorance
acid base
knowledge ignorance
