TRAINING
irradiate irradiation
lodge lodger
handle handler
admire admirer
shine shining
sculpt sculptor
pop popping
understand understanding
blink blinking
stick sticker
spoil spoiler
omit omission
jut jutting
hanker hankering
prolong prolongation
whip whipping
disseminate dissemination
nationalize nationalization
electrocute electrocution
starve starving
deviate deviation
sense sensor
shut shutter
rate rating
taste tasting
result resultant
subscribe subscription
normalize normalization
slay slaying
warm warming
behold beholder
evade evasion
seal sealing
presume presumption
contend contender
legalize legalization
rush rushing
hop hopper
expect expectation
mortgage mortgagee
propel propellor
locate location
keep keeper
trample trampling
commemorate commemoration
reassure reassurance
switch switcher
kick kicking
formulate formulation
itemize item
draw drawer
cremate cremation
count counter
kidnap kidnapper
criminalize criminal
dictate dictator
compete competition
compound compounding
submerge submerging
constrict constriction
extend extension
portray portraiture
cease cessation
transport transportation
vouch voucher
hug hugging
tile tiling
resonate resonance
establish establishment
diagnose diagnosing
rattle rattling
start starter
hammer hammering
bite biter
insist insistence
perpetrate perpetrator
cricket cricketer
skateboard skateboarding
thrill thriller
include inclusion
liquidate liquidator
slice slicing
volunteer voluntary
cover reportage
appoint appointee
harden hardening
infest infestation
trace tracer
facilitate facilitation
sculpt sculpture
solve solvent
bromate bromine
defect defection
farm farmer
direct director
coagulate coagulant
sleep sleeper
entrench entrenchment
overvalue overvaluation
file filing
dehydrate dehydration
enroll enrollment
loathe loathing
load loader
decode decoding
publish publisher
adapt adapter
export exporting
govern governing
block blocking
soften softening
gratify gratification
tamp tamper
mourn mourner
decentralize decentralization
subside subsiding
notify notice
throttle throttling
vilify vilification
misunderstand misunderstanding
wipe wiper
patronize patron
land lander
distract distraction
defer deferment
harass harassment
stimulate stimulus
annul annulment
glorify glorification
demarcate demarcation
correct correction
glamorize glamorization
excite excitement
entertain entertainment
separate discrimination
opine opinion
condense condensate
bark barker
automate automation
grow growth
revert reverting
object objector
degrade degradation
streak streaker
dispute disputation
delegate delegating
knock knocking
guzzle guzzling
dampen dampener
revert reversion
aggregate aggregator
equate equating
format formatting
rear rearing
close closer
drum drummer
pass passage
dye dyeing
pet petting
reserve reservation
simulate simulation
consecrate consecration
settle settling
time timing
earn earner
gamble gambler
rumble rumbling
decontaminate decontamination
rearrange rearrangement
distill distillation
hawk hawking
entice enticement
wire wiring
dominate dominion
counsel counseling
terminate finish
rise riser
camp camper
hook hooker
wrestle wrestler
ground grounding
manifest manifestation
fold folding
intercede intercession
supply supplying
bruise bruiser
condense condensation
plan planner
inoculate inoculating
publish publication
salve salvation
postpone postponement
machine machinist
recreate recreation
magnify magnitude
retract retraction
titillate titillation
taste taster
renew renewal
penetrate penetration
poke poker
discontinue discontinuation
cushion cushioning
scrutinize scrutiny
reduce reducing
redeploy redeployment
hook hooking
arbitrage arbitrager
standardize standardization
instal installing
trade trader
flip flipper
rid riddance
damn damnation
envision envisioning
elevate elevation
ransack ransacking
canal canalization
serve server
fulfill fulfillment
greet greeting
advance advancement
fish fishery
hedge hedger
feast feasting
gain gainer
document documentary
attack attacker
manufacture manufacturer
arbitrate arbiter
feather feathering
feed feeding
corrupt corruption
allude allusion
winnow winnowing
haul haulage
separate separator
pace pacer
solve solver
whisper whispering
saturate saturation
traffic trafficker
kill killing
judge judging
contribute contributor
stalk stalker
pilfer pilferage
compose component
pose poser
propel propellant
snort snorting
inject injector
prefer preference
resent resentment
confirm confirmation
stiffen stiffening
demolish demolition
depict depiction
subdivide subdivision
stifle stifling
lubricate lubricant
will willing
dethrone dethronement
profess professing
crawl crawler
devote devotion
acquire acquiring
clear clearance
dodge dodging
synthesize synthesizer
define defining
reappraise reappraisal
subcontract subcontractor
betray betrayal
