TRAINING
irradiate irradiation
lodge lodger
handle handler
admire admirer
shine shining
sculpt sculptor
relocate relocation
understand understanding
swindle swindler
stick sticker
deter deterrent
omit omission
jut jutting
hanker hankering
prolong prolongation
whip whipping
disseminate dissemination
economize economy
electrocute electrocution
starve starving
deviate deviation
sense sensor
shut shutter
personify personification
taste tasting
result resultant
subscribe subscription
normalize normalization
slay slaying
warm warming
behold beholder
evade evasion
seal sealing
analyze analysis
kidnap kidnapping
legalize legalization
rush rushing
stimulate stimulant
expect expectation
mortgage mortgagee
propel propellor
locate location
keep keeper
trample trampling
commemorate commemoration
reassure reassurance
shoot shooting
kick kicking
orbit orbiter
itemize item
enjoin injunction
soak soaker
restrain restraint
kidnap kidnapper
criminalize criminal
dictate dictator
compete competition
disappear disappearance
submerge submerging
argue argumentation
extend extension
conduct conductor
help helping
transport transportation
vouch voucher
hug hugging
file filing
resonate resonance
cease cessation
diagnose diagnosing
rattle rattling
start starter
hammer hammering
bite biter
extend extent
persist persistence
sparkle sparkler
skateboard skateboarding
invent inventor
include inclusion
liquidate liquidator
hesitate hesitation
employ employee
grow growing
appoint appointee
harden hardening
infest infestation
trace tracer
facilitate facilitation
sculpt sculpture
solve solvent
bromate bromine
disinvest undress
disclaim disclaimer
direct director
coagulate coagulant
admonish admonition
entrench entrenchment
overvalue overvaluation
revere reverence
dehydrate dehydration
enroll enrollment
probate probation
load loader
decode decoding
publish publisher
adapt adapter
export exporting
govern governing
block blocking
soften softening
gratify gratification
tamp tamper
mourn mourner
decentralize decentralization
subside subsiding
notify notice
throttle throttling
vilify vilification
misunderstand misunderstanding
wipe wiper
patronize patron
beat bafflement
distract distraction
defer deferment
harass harassment
install installment
spot spotter
glorify glorification
demarcate demarcation
correct correction
unionize unionization
jump jumping
entertain entertainment
separate discrimination
opine opinion
condense condensate
bark barker
moor mooring
centralize centralization
revert reverting
object objector
degrade degradation
streak streaker
dispute disputation
pale pallor
knock knocking
vanish vanishing
dampen dampener
revert reversion
aggregate aggregator
equate equating
sin sinner
rear rearing
close closer
organize organizer
pass passage
relate relation
pet petting
reserve reservation
simulate simulation
consecrate consecration
settle settling
align alignment
earn earner
gamble gambler
rumble rumbling
simmer simmering
rearrange rearrangement
distill distillation
hawk hawking
entice enticement
wire wiring
dominate dominion
refresh refresher
terminate finish
rise riser
camp camper
hook hooker
wrestle wrestler
ground grounding
manifest manifestation
graze grazing
intercede intercession
supply supplying
bruise bruiser
condense condensation
plan planner
inoculate inoculating
speak speech
salve salvation
schedule scheduling
machine machinist
recreate recreation
magnify magnitude
retract retraction
titillate titillation
taste taster
renew renewal
penetrate penetration
poke poker
discontinue discontinuation
cushion cushioning
scrutinize scrutiny
reduce reducing
mesh meshing
hook hooking
arbitrage arbitrager
standardize standardization
instal installing
trade trader
flip flipper
rid riddance
damn damnation
envision envisioning
elevate elevation
ransack ransacking
canal canalization
serve server
fulfill fulfillment
greet greeting
advance advancement
fish fishery
hedge hedger
feast feasting
advise advisement
document documentary
attack attacker
manufacture manufacturer
arbitrate arbiter
quell quelling
feed feeding
corrupt corruption
allude allusion
winnow winnowing
uplift uplifting
separate separator
pace pacer
solve solver
whisper whispering
saturate saturation
factor factoring
kill killing
judge judging
contribute contributor
stalk stalker
magnify magnification
hit hitting
pose poser
propel propellant
snort snorting
flee flight
prefer preference
resent resentment
take taker
fortify fortification
demolish demolition
depict depiction
subdivide subdivision
stifle stifling
lubricate lubricant
will willing
dethrone dethronement
profess professing
sensitize sensitizer
pilot pilotage
acquire acquiring
clear clearance
dodge dodging
synthesize synthesizer
define defining
try trial
subcontract subcontractor
betray betrayal
donate donation
