TRAINING
irradiate irradiation
lodge lodger
study studying
admire admirer
pace pacing
sculpt sculptor
relocate relocation
post posting
swindle swindler
mill milling
deter deterrent
run runner
jut jutting
originate originator
prolong prolongation
whip whipping
interlock interlocking
economize economy
electrocute electrocution
starve starving
recite recitation
sense sensor
shut shutter
personify personification
taste tasting
result resultant
subscribe subscription
normalize normalization
slay slaying
heave heaving
block blocker
thump thumping
seal sealing
analyze analysis
kidnap kidnapping
triple tripling
rush rushing
stimulate stimulant
concentrate concentration
bank banker
propel propellor
intrude intrusion
keep keeper
read reader
commemorate commemoration
tighten tightening
shoot shooting
dampen dampener
orbit orbiter
itemize item
enjoin injunction
soak soaker
restrain restraint
reassert reassertion
criminalize criminal
dictate dictator
chant chanting
disappear disappearance
submerge submerging
argue argumentation
extend extension
conduct conductor
help helping
verify verification
aggravate aggravation
hug hugging
file filing
survive survival
cease cessation
diagnose diagnosing
whistle whistling
start starter
hammer hammering
seal sealer
extend extent
persist persistence
sparkle sparkler
skateboard skateboarding
invent inventor
include inclusion
liquidate liquidator
hesitate hesitation
employ employee
grow growing
acquit acquittal
defect defection
sub subbing
trace tracer
rail railing
encourage encouragement
exercise exercising
whir whirring
disinvest undress
disclaim disclaimer
construct construction
erode erosion
admonish admonition
forge forger
overvalue overvaluation
revere reverence
dehydrate dehydration
loot looter
probate probation
load loader
pilfer pilferage
succeed successor
adapt adapter
export exporting
govern governing
block blocking
soften softening
gratify gratification
tamp tamper
play playing
err error
subside subsiding
notify notice
throttle throttling
ripen ripening
misunderstand misunderstanding
wipe wiper
patronize patron
beat bafflement
dose dosage
defer deferment
harass harassment
install installment
spot spotter
detonate detonation
demarcate demarcation
vaccinate vaccinating
unionize unionization
jump jumping
interconnect interconnection
separate discrimination
necessitate necessity
endow endowment
hawk hawker
moor mooring
centralize centralization
miniaturize miniaturization
object objector
degrade degradation
possess possession
bark barker
pale pallor
knock knocking
vanish vanishing
circumcise circumcision
annul annulment
aggregate aggregator
innovate innovation
sin sinner
satisfy satisfaction
tie tying
organize organizer
inoculate inoculation
relate relation
pet petting
reserve reservation
simulate simulation
eat eating
ally alliance
align alignment
earn earner
pen penning
unveil unveiling
simmer simmering
rearrange rearrangement
distill distillation
let letter
entice enticement
wire wiring
dominate dominion
refresh refresher
retain retention
rise riser
camp camper
hook hooker
count counting
ground grounding
manifest manifestation
graze grazing
intercede intercession
supply supplying
bruise bruiser
condense condensation
dine diner
sit sitter
speak speech
salve salvation
