TRAINING
law laws
decision decisions
case cases
child children
game games
car cars
talk talks
patient patients
friend friends
death deaths
mile miles
official officials
business businesses
effort efforts
point points
person people
foot feet
way ways
system systems
project projects
state states
product products
school schools
artist artists
drug drugs
source sources
player players
candidate candidates
concern concerns
service services
relation relations
woman women
operation operations
party parties
team teams
man men
report reports
teacher teachers
family families
plan plans
company companies
student students
parent parents
right rights
job jobs
sport sports
hour hours
issue issues
building buildings
allegation allegations
member members
city cities
condition conditions
day days
group groups
charge charges
event events
program programs
kid kids
dollar dollars
change changes
time times
worker workers
year years
reason reasons
standard standards
week weeks
result results
rule rules
citizen citizens
resident residents
officer officers
area areas
country countries
leader leaders
loss losses
weapon weapons
employee employees
question questions
home homes
rate rates
TUNING
authority authorities
problem problems
term terms
number numbers
owner owners
investor investors
life lives
minute minutes
sale sales
TEST
thing things
benefit benefits
street streets
agency agencies
expert experts
month months
line lines
analyst analysts
price prices
voter voters
