TRAINING
immediate immediately
lucky luckily
apparent apparently
usual usually
slow slowly
unfortunate unfortunately
fortunate fortunately
occasional occasionally
most mostly
cheerful cheerfully
complete completely
furious furiously
professional professionally
swift swiftly
possible possibly
efficient efficiently
sudden suddenly
rapid rapidly
amazing amazingly
serious seriously
reluctant reluctantly
safe safely
infrequent infrequently
obvious obviously
free freely
quiet quietly
TUNING
precise precisely
happy happily
quick quickly
TEST
calm calmly
rare rarely
typical typically
