TRAINING
immediate immediately
typical typically
apparent apparently
usual usually
slow slowly
furious furiously
fortunate fortunately
occasional occasionally
most mostly
obvious obviously
happy happily
calm calmly
rare rarely
swift swiftly
possible possibly
efficient efficiently
unfortunate unfortunately
rapid rapidly
amazing amazingly
serious seriously
reluctant reluctantly
safe safely
infrequent infrequently
professional professionally
free freely
quiet quietly
TUNING
precise precisely
lucky luckily
quick quickly
TEST
sudden suddenly
cheerful cheerfully
complete completely
