TRAINING
efficient inefficient
comfortable uncomfortable
decided undecided
pleasant unpleasant
competitive uncompetitive
sure unsure
acceptable unacceptable
reasonable unreasonable
informative uninformative
responsible irresponsible
impressive unimpressive
clear unclear
consistent inconsistent
known unknown
possible impossible
productive unproductive
convenient inconvenient
certain uncertain
aware unaware
likely unlikely
ethical unethical
informed uninformed
rational irrational
tasteful distasteful
TUNING
fortunate unfortunate
possibly impossibly
logical illogical
TEST
convincing unconvincing
honest dishonest
