TRAINING
looking looked
going went
reading read
shrinking shrank
paying paid
taking took
jumping jumped
sleeping slept
saying said
dancing danced
knowing knew
implementing implemented
sitting sat
spending spent
running ran
playing played
singing sang
screaming screamed
writing wrote
feeding fed
swimming swam
striking struck
predicting predicted
falling fell
selling sold
decreasing decreased
enhancing enhanced
vanishing vanished
describing described
seeing saw
listening listened
increasing increased
TUNING
hitting hit
generating generated
moving moved
walking walked
TEST
hiding hid
thinking thought
slowing slowed
flying flew
