TRAINING
disinvest undress
perform performer
sled sledding
sweeten sweetening
dine dining
distill distillery
seek seeking
solve solvent
deter deterrence
throw thrower
reconcile reconciliation
follow follower
shop shopping
slug slugger
forest forestry
embezzle embezzlement
reprint reprinting
ship shipper
obey obedience
prolong prolongation
shrink shrinkage
grow growing
weave weaving
starve starvation
scatter scattering
immobilize immobilization
roast roaster
box boxing
warm warmer
support supporter
suppose supposition
concede conceding
hiss hissing
excise excision
vary variation
distill distillate
steer steerage
communicate communication
proceed proceedings
exempt exemption
cushion cushioning
stalk stalking
mock mockery
inform informant
crystallize crystal
invest investing
deactivate deactivation
produce product
adjust adjustment
electrocute electrocution
prospect prospector
deal dealing
throttle throttling
diffuse diffusion
intrude intruder
combine combining
smock smocking
stroll stroller
render rendering
smell smelling
pay payer
intoxicate intoxication
envision envisioning
etch etching
instal installing
till tillage
continue continuation
pound pounding
adjudicate judge
reiterate reiteration
rent renter
pretend pretender
punch puncher
plunge plunger
restrain restraint
predispose predisposition
struggle struggler
execute executor
pose posing
schedule scheduler
desalinate desalination
ally alliance
facilitate facilitator
mellow mellowing
seduce seduction
anoint anointment
animate animator
inflame inflaming
persevere perseverance
negotiate negotiator
incubate incubator
disavow disavowal
hammer hammering
thicken thickener
see seeing
wear wearing
master mastering
hurdle hurdler
occupy occupant
position positioning
transform transformer
grasp grasping
economize economy
dine dinner
score scorer
defect defection
sign signer
hinder hindrance
commentate commentator
annihilate annihilation
web webbing
demonstrate demonstration
plunder plundering
tease teasing
corrupt corruption
called calling
induce inducing
adhere adhesion
moderate curb
warm warming
taste taster
purchase purchaser
till tiller
evade evasion
cede cession
navigate navigation
clip clipping
revise revising
criminalize criminal
collect collecting
incarnate incarnation
transgress transgression
design designer
intensify intensity
argue argument
crackle crackling
accredit accreditation
damn damnation
feed feeder
steal stealing
harmonize harmonization
quench quenching
conceive concept
stretch stretcher
punt punting
compress compressor
amputate amputation
recede receding
observe observance
contract contracting
print printing
expend expending
protect protection
map mapping
strip stripper
dive diving
terminate termination
advise advisory
sail sailor
slacken slackening
find finding
reside resident
mediate mediation
ape aper
mortgage mortgagee
rearm rearmament
approve approval
slack slacker
line lining
reflect reflector
conciliate conciliation
proceed procession
inflame inflammation
evaluate evaluator
torture torturing
swim swimmer
document documentary
shop shopper
course coursing
ventilate ventilation
flow flowing
sheet sheeting
wreck wreckage
dive diver
empty emptying
sweat sweater
disclaim disclaimer
diet dieting
undertake undertaking
program programing
refuse refusal
act action
conceal concealment
warn warning
decontaminate decontamination
vaccinate vaccination
contend contender
fossilize fossil
treat treatment
accomplish accomplishment
reinterpret reinterpretation
speak speaking
teach teaching
disobey disobedience
electrify electrification
hear hearing
authenticate authentication
wake waking
forecast forecasting
draft draftee
irritate irritation
blast blaster
pollinate pollen
denominate denomination
confess confession
place aim
obliterate obliteration
hesitate hesitancy
opine opinion
detract detraction
rib ribbing
narrow narrowing
impersonate impersonation
lobby lobbyist
dock docking
sprint sprinter
ostracize ostracism
poke poker
coax coaxing
suffice sufficiency
escalate escalation
brief briefing
emasculate emasculation
instruct instruction
signify significance
strip stripping
destroy destruction
settle settlement
smack smacking
present presentment
exclude exclusion
switch switching
comply compliance
sweeten sweetener
pave paving
disseminate dissemination
pen penning
nationalize nationalization
admit admission
prescribe prescription
diversify diversification
revere reverence
equalize equalizer
rig rigging
eat eater
free freeing
defer deferral
hawk hawker
flirt flirting
convalesce convalescent
sense sensation
pray prayer
market marketing
sever severing
oppress oppressor
supply supplier
begin beginning
strew strewing
conquer conqueror
prowl prowler
ferment fermentation
apportion apportionment
let letter
plead pleading
color coloring
image imaging
vault vaulting
choke choking
freeze freezing
list listing
bat batting
extrapolate extrapolation
panel paneling
reform reformation
file filing
converge convergence
die death
receive reception
blackmail blackmailer
word wording
bless blessing
bank banking
shear shearing
wholesale wholesaler
extend extent
reimburse reimbursement
fold folder
merge merger
drug drugging
qualify qualifier
deliver delivery
kidnap kidnapper
license licenser
shift shifting
tolerate toleration
spill spillage
book booking
form formation
impound impoundment
instigate instigation
pay payment
type typing
intend intention
wreck wrecker
yield yielding
intensify intensification
meddle meddling
coordinate coordination
flatter flattery
direct directive
dub dubbing
anchor anchorage
thrill thriller
litigate litigator
ramp rampage
gamble gambler
vomit vomiting
matriculate matriculation
emit emission
qualify qualifying
curl curler
mumble mumbling
feed feeding
resettle resettlement
fail failing
inaugurate inauguration
mark marker
unify unification
locate locator
instigate instigator
erode erosion
dilute dilution
avoid avoidance
revel revelry
carpet carpeting
falsify falsity
bust buster
assassinate assassination
misread misreading
rush rusher
enlighten enlightenment
salute pledge
blend blender
equip equipping
tear tearing
ski skiing
shake shaking
captivate captive
mail mailer
except exception
deviate deviation
box boxer
wire wiring
serve server
activate activator
rob robber
admire admiration
join juncture
feel feeling
win winnings
snoop snooper
install installation
progress progression
mobilize mobilization
load loading
mount mounting
assume assumption
illuminate illumination
sting stinging
supplant supplanting
resonate resonance
cover report
insist insisting
excel excellence
dissent dissenter
ride rider
innovate innovation
cook cooking
sprawl sprawling
seal sealant
liquidate liquidation
bomb bombing
fold folding
parole parolee
purify purifier
taper tapering
page paging
ordain ordinance
transmit transmitting
circumcise circumcision
land landing
debrief debriefing
scout scouting
collude collusion
present presenter
go goer
concoct concoction
clear clearance
consummate consummation
mill milling
emulate emulation
export exporting
deepen deepening
breathe breather
remember remembering
possess possession
compress compressing
bat batter
damp damper
register registrant
