TRAINING
course destination
bible salvation
plan lesson
agenda routine
pattern dress
list groceries
map journey
choreography performance
instructions game
model architecture
mold forms
script movie
playbook football
equation formula
strategy victory
code program
sketch painting
draft essay
prescription medication
rules game
sketch drawing
deal contract
map city
outline composition
strategy attack
equation solution
textbook subject
plan development
summary book
TUNING
agenda meeting
instructions model
study understanding
TEST
map route
outline paper
directions route
