TRAINING
course destination
draft essay
directions route
plan lesson
mold forms
list groceries
bible salvation
choreography performance
equation solution
model architecture
agenda routine
script movie
playbook football
equation formula
strategy victory
map route
sketch painting
code program
instructions model
rules game
sketch drawing
deal contract
map city
outline composition
strategy attack
outline paper
textbook subject
plan development
summary book
TUNING
agenda meeting
instructions game
study understanding
TEST
map journey
prescription medication
pattern dress
