TRAINING
law laws
resident residents
case cases
child children
school schools
car cars
talk talks
patient patients
friend friends
problem problems
team teams
thing things
business businesses
student students
point points
death deaths
rate rates
way ways
system systems
street streets
operation operations
question questions
hour hours
party parties
drug drugs
source sources
official officials
day days
month months
sale sales
relation relations
agency agencies
game games
standard standards
line lines
job jobs
woman women
minute minutes
family families
officer officers
company companies
project projects
condition conditions
right rights
teacher teachers
sport sports
voter voters
year years
building buildings
allegation allegations
member members
city cities
reason reasons
player players
group groups
employee employees
state states
program programs
kid kids
price prices
benefit benefits
week weeks
country countries
change changes
issue issues
expert experts
artist artists
result results
concern concerns
worker workers
loss losses
analyst analysts
area areas
foot feet
leader leaders
weapon weapons
mile miles
service services
effort efforts
candidate candidates
dollar dollars
TUNING
authority authorities
report reports
person people
time times
owner owners
home homes
product products
rule rules
plan plans
TEST
investor investors
parent parents
life lives
term terms
number numbers
man men
decision decisions
charge charges
citizen citizens
event events
