TRAINING
include included
study studied
be was
prove proved
earn earned
pay paid
promote promoted
celebrate celebrated
build built
provide provided
want wanted
understand understood
become became
start started
return returned
avoid avoided
change changed
see saw
find found
offer offered
raise raised
learn learned
discuss discussed
buy bought
end ended
lead led
allow allowed
have had
go went
call called
begin began
create created
improve improved
save saved
develop developed
support supported
stay stayed
run ran
leave left
look looked
resolve resolved
come came
eliminate eliminated
give gave
keep kept
stop stopped
decide decided
live lived
take took
extend extended
accept accepted
like liked
feel felt
reduce reduced
remain remained
prevent prevented
seek sought
send sent
produce produced
ensure ensured
show showed
think thought
need needed
accommodate accommodated
bring brought
join joined
use used
sell sold
hold held
open opened
happen happened
recognize recognized
preserve preserved
increase increased
protect protected
win won
tell told
help helped
require required
serve served
get got
TUNING
work worked
make made
move moved
know knew
continue continued
consider considered
do did
believe believed
reach reached
TEST
receive received
follow followed
say said
turn turned
seem seemed
play played
ask asked
try tried
determine determined
meet met
