TRAINING
include included
ask asked
be was
prove proved
earn earned
pay paid
promote promoted
celebrate celebrated
build built
avoid avoided
want wanted
understand understood
become became
start started
return returned
move moved
change changed
see saw
find found
offer offered
seek sought
do did
discuss discussed
buy bought
end ended
lead led
allow allowed
serve served
go went
help helped
begin began
create created
raise raised
save saved
develop developed
play played
stay stayed
keep kept
leave left
look looked
resolve resolved
come came
follow followed
give gave
support supported
stop stopped
decide decided
live lived
take took
extend extended
accept accepted
like liked
eliminate eliminated
reduce reduced
remain remained
try tried
meet met
send sent
produce produced
ensure ensured
show showed
know knew
open opened
accommodate accommodated
feel felt
join joined
think thought
sell sold
hold held
determine determined
study studied
recognize recognized
preserve preserved
need needed
protect protected
happen happened
tell told
prevent prevented
learn learned
consider considered
get got
TUNING
work worked
make made
turn turned
seem seemed
continue continued
receive received
say said
believe believed
reach reached
TEST
have had
bring brought
require required
provide provided
use used
run ran
win won
call called
increase increased
improve improved
