TRAINING
include included
ask asked
be was
prove proved
improve improved
pay paid
promote promoted
celebrate celebrated
build built
avoid avoided
want wanted
understand understood
become became
require required
return returned
move moved
increase increased
see saw
find found
offer offered
seek sought
do did
discuss discussed
use used
end ended
lead led
allow allowed
serve served
go went
help helped
begin began
create created
raise raised
save saved
develop developed
play played
stay stayed
keep kept
leave left
look looked
resolve resolved
come came
follow followed
give gave
support supported
stop stopped
decide decided
bring brought
take took
extend extended
accept accepted
like liked
eliminate eliminated
have had
remain remained
try tried
meet met
send sent
produce produced
ensure ensured
show showed
know knew
open opened
accommodate accommodated
feel felt
join joined
think thought
sell sold
hold held
determine determined
study studied
recognize recognized
preserve preserved
need needed
protect protected
happen happened
win won
prevent prevented
learn learned
consider considered
get got
TUNING
work worked
provide provided
turn turned
seem seemed
continue continued
receive received
say said
run ran
call called
TEST
reduce reduced
live lived
start started
make made
buy bought
believe believed
tell told
reach reached
change changed
earn earned
