TRAINING
patient health
painter portrait
workers salary
doctor wellness
hunter prey
farmer food
farmer harvest
athlete record
mediator reconciliation
dancer applause
politician office
seamstress dress
student graduation
lawyer justice
students graduation
runner finish
athlete medal
student degree
chef meal
christian heaven
midwife babies
gambler millionaire
athlete championship
man sex
team trophy
TUNING
astronaut space
arsonist fire
musician applause
TEST
addict fix
traveler destination
singer contract
