TRAINING
patient health
addict fix
man sex
students graduation
hunter prey
doctor wellness
farmer harvest
athlete record
mediator reconciliation
workers salary
politician office
seamstress dress
student graduation
lawyer justice
painter portrait
runner finish
athlete medal
student degree
musician applause
traveler destination
midwife babies
singer contract
athlete championship
gambler millionaire
team trophy
TUNING
astronaut space
christian heaven
arsonist fire
TEST
farmer food
chef meal
dancer applause
