TRAINING
patient health
addict fix
workers salary
doctor wellness
hunter prey
farmer food
farmer harvest
athlete record
mediator reconciliation
dancer applause
politician office
seamstress dress
student graduation
lawyer justice
painter portrait
runner finish
athlete medal
student degree
chef meal
traveler destination
midwife babies
singer contract
athlete championship
gambler millionaire
team trophy
TUNING
astronaut space
christian heaven
musician applause
TEST
students graduation
arsonist fire
man sex
