TRAINING
patient health
addict fix
workers salary
doctor wellness
hunter prey
farmer food
farmer harvest
athlete record
mediator reconciliation
dancer applause
politician office
seamstress dress
student graduation
lawyer justice
students graduation
runner finish
athlete medal
student degree
chef meal
traveler destination
midwife babies
singer contract
athlete championship
man sex
team trophy
TUNING
astronaut space
arsonist fire
musician applause
TEST
painter portrait
christian heaven
gambler millionaire
