TRAINING
course destination
draft essay
directions route
plan lesson
mold forms
list groceries
bible salvation
plan development
equation solution
pattern dress
agenda routine
playbook football
model architecture
equation formula
strategy victory
map route
sketch drawing
code program
instructions model
prescription medication
rules game
map journey
map city
outline composition
strategy attack
outline paper
textbook subject
deal contract
summary book
TUNING
agenda meeting
instructions game
study understanding
TEST
choreography performance
sketch painting
script movie
