TRAINING
course destination
draft essay
directions route
plan lesson
mold forms
list groceries
bible salvation
choreography performance
equation solution
pattern dress
agenda routine
script movie
playbook football
equation formula
strategy victory
map route
sketch painting
code program
instructions model
prescription medication
sketch drawing
map journey
map city
outline composition
strategy attack
outline paper
textbook subject
plan development
summary book
TUNING
agenda meeting
instructions game
study understanding
TEST
deal contract
rules game
model architecture
