TRAINING
course destination
bible salvation
directions route
agenda routine
pattern dress
list groceries
map journey
choreography performance
instructions game
model architecture
mold forms
script movie
playbook football
equation formula
strategy victory
map route
sketch painting
draft essay
prescription medication
rules game
sketch drawing
deal contract
map city
outline composition
strategy attack
outline paper
textbook subject
plan development
summary book
TUNING
agenda meeting
instructions model
study understanding
TEST
code program
equation solution
plan lesson
