TRAINING
reach touch
wheel car
title story
introduction conclusion
beginning middle
thread shirt
letter postscript
text index
conception birth
hydrogen water
ingestion digestion
performance applause
foreword novel
introduction speech
step journey
preview movie
sugar cookies
pregnancy birth
word sentence
letter word
previews movie
kiss intercourse
windup pitch
inhale smell
flirtation tryst
letters word
searing roasting
shoot recoil
TUNING
paperwork appointment
meal dessert
start finish
TEST
trial arrest
kindergarten preschool
lay sleep
