TRAINING
reach touch
wheel car
title story
introduction conclusion
beginning middle
lay sleep
letter postscript
text index
conception birth
hydrogen water
ingestion digestion
performance applause
foreword novel
introduction speech
step journey
preview movie
sugar cookies
pregnancy birth
word sentence
letter word
previews movie
kiss intercourse
trial arrest
inhale smell
flirtation tryst
letters word
searing roasting
shoot recoil
TUNING
paperwork appointment
meal dessert
kindergarten preschool
TEST
windup pitch
start finish
thread shirt
