TRAINING
looking looked
going went
reading read
shrinking shrank
paying paid
taking took
jumping jumped
sleeping slept
saying said
dancing danced
knowing knew
thinking thought
sitting sat
spending spent
running ran
playing played
singing sang
hiding hid
writing wrote
feeding fed
swimming swam
striking struck
slowing slowed
falling fell
selling sold
flying flew
enhancing enhanced
vanishing vanished
describing described
seeing saw
listening listened
increasing increased
TUNING
hitting hit
generating generated
moving moved
walking walked
TEST
screaming screamed
implementing implemented
predicting predicted
decreasing decreased
