TRAINING
looking looked
going went
reading read
shrinking shrank
paying paid
implementing implemented
jumping jumped
sleeping slept
saying said
decreasing decreased
knowing knew
thinking thought
sitting sat
spending spent
running ran
playing played
singing sang
hiding hid
writing wrote
feeding fed
predicting predicted
striking struck
slowing slowed
falling fell
selling sold
flying flew
enhancing enhanced
vanishing vanished
describing described
seeing saw
listening listened
increasing increased
TUNING
screaming screamed
generating generated
moving moved
walking walked
TEST
hitting hit
taking took
swimming swam
dancing danced
