TRAINING
offers offered
builds built
moves moved
wins won
makes made
helps helped
has had
takes took
joins joined
does did
seems seemed
provides provided
thinks thought
stops stopped
becomes became
remains remained
feels felt
sends sent
reduces reduced
reaches reached
sells sold
proves proved
knows knew
gives gave
says said
keeps kept
understands understood
leaves left
changes changed
protects protected
supports supported
resolves resolved
learns learned
discusses discussed
develops developed
lives lived
requires required
raises raised
shows showed
pays paid
brings brought
tries tried
includes included
holds held
produces produced
stays stayed
seeks sought
finds found
comes came
recognizes recognized
sees saw
plays played
preserves preserved
eliminates eliminated
likes liked
serves served
leads led
gets got
happens happened
receives received
ends ended
wants wanted
prevents prevented
accepts accepted
asks asked
improves improved
considers considered
promotes promoted
uses used
is was
saves saved
continues continued
follows followed
creates created
calls called
needs needed
determines determined
extends extended
meets met
believes believed
celebrates celebrated
TUNING
buys bought
studies studied
goes went
turns turned
opens opened
accommodates accommodated
allows allowed
runs ran
returns returned
TEST
begins began
starts started
ensures ensured
looks looked
tells told
decides decided
earns earned
increases increased
works worked
avoids avoided
