TRAINING
offers offered
builds built
moves moved
wins won
makes made
helps helped
has had
takes took
joins joined
does did
seems seemed
begins began
thinks thought
stops stopped
becomes became
remains remained
feels felt
sends sent
reduces reduced
ensures ensured
sells sold
proves proved
knows knew
gives gave
says said
keeps kept
understands understood
leaves left
decides decided
protects protected
supports supported
looks looked
learns learned
discusses discussed
earns earned
lives lived
requires required
raises raised
shows showed
pays paid
brings brought
tries tried
includes included
holds held
produces produced
stays stayed
avoids avoided
finds found
comes came
recognizes recognized
sees saw
plays played
preserves preserved
eliminates eliminated
likes liked
serves served
leads led
gets got
happens happened
works worked
starts started
wants wanted
prevents prevented
accepts accepted
asks asked
tells told
considers considered
promotes promoted
uses used
is was
saves saved
increases increased
follows followed
creates created
calls called
needs needed
determines determined
extends extended
meets met
believes believed
celebrates celebrated
TUNING
buys bought
studies studied
goes went
turns turned
opens opened
accommodates accommodated
allows allowed
runs ran
returns returned
TEST
provides provided
ends ended
reaches reached
resolves resolved
improves improved
changes changed
develops developed
continues continued
receives received
seeks sought
