TRAINING
offers offered
builds built
moves moved
wins won
knows knew
helps helped
has had
takes took
joins joined
studies studied
develops developed
begins began
thinks thought
tries tried
becomes became
does did
celebrates celebrated
sends sent
reduces reduced
ensures ensured
learns learned
meets met
seeks sought
discusses discussed
says said
keeps kept
provides provided
eliminates eliminated
decides decided
returns returned
supports supported
looks looked
makes made
improves improved
earns earned
lives lived
resolves resolved
runs ran
shows showed
continues continued
brings brought
reaches reached
includes included
holds held
raises raised
stays stayed
avoids avoided
accepts accepted
comes came
recognizes recognized
sees saw
plays played
asks asked
understands understood
likes liked
serves served
leads led
gets got
happens happened
works worked
starts started
considers considered
creates created
ends ended
finds found
tells told
gives gave
promotes promoted
changes changed
is was
needs needed
increases increased
follows followed
feels felt
calls called
determines determined
seems seemed
protects protected
stops stopped
leaves left
receives received
TUNING
buys bought
requires required
goes went
turns turned
opens opened
accommodates accommodated
allows allowed
uses used
pays paid
TEST
believes believed
preserves preserved
proves proved
remains remained
wants wanted
produces produced
saves saved
extends extended
prevents prevented
sells sold
