TRAINING
offers offered
builds built
moves moved
wins won
makes made
helps helped
has had
takes took
joins joined
does did
develops developed
begins began
thinks thought
stops stopped
becomes became
remains remained
feels felt
sends sent
reduces reduced
ensures ensured
sells sold
proves proved
seeks sought
gives gave
says said
keeps kept
provides provided
leaves left
decides decided
protects protected
supports supported
looks looked
learns learned
improves improved
earns earned
lives lived
resolves resolved
raises raised
shows showed
continues continued
brings brought
reaches reached
includes included
holds held
produces produced
stays stayed
avoids avoided
finds found
comes came
recognizes recognized
sees saw
plays played
preserves preserved
eliminates eliminated
likes liked
serves served
leads led
gets got
happens happened
works worked
starts started
wants wanted
prevents prevented
ends ended
asks asked
tells told
considers considered
promotes promoted
changes changed
is was
saves saved
increases increased
follows followed
creates created
calls called
needs needed
determines determined
extends extended
meets met
believes believed
receives received
TUNING
buys bought
studies studied
goes went
turns turned
opens opened
accommodates accommodated
allows allowed
runs ran
returns returned
TEST
understands understood
accepts accepted
tries tried
requires required
discusses discussed
uses used
seems seemed
pays paid
celebrates celebrated
knows knew
