TRAINING
citation violation
cry help
badge authority
lightning thunder
pregnancy baby
crown sovereignty
green go
surgery hospital
wrinkle age
cross faith
rain storm
engagement wedding
bell dinner
crossbones poison
handshake agreement
smile happiness
cloud moisture
crown royalty
license permission
diploma education
thunder storm
smoke fire
red stop
flag nation
yellow caution
flashing caution
warning trouble
TUNING
doctor diagnosis
alarm action
camera distrust
TEST
compass direction
sign direction
buzzer end
